Dataset 1: Glass
K-NN Classifier Fold 1:
k=1
Accuracy: 84.62
   Actual  Predicted
0       1          1
1       1          1
2       2          2
3       7          7
4       2          2
5       7          7
6       1          1
7       2          2
8       7          7
9       6          1
10      1          1
11      1          3
12      2          2
13      2          2
14      1          1
15      2          2
16      5          5
17      3          2
18      2          2
19      1          1
20      1          1
21      2          2
22      1          1
23      3          2
24      2          2
25      1          1
26      5          7
27      1          1
28      2          2
29      6          6
30      3          3
31      2          2
32      5          5
33      1          1
34      1          1
35      2          2
36      7          7
37      2          2
38      2          1

K-NN Classifier Fold 2:
k=1
Accuracy: 61.54
   Actual  Predicted
0       7          7
1       2          1
2       2          2
3       1          1
4       1          2
5       5          2
6       6          6
7       5          2
8       2          5
9       1          1
10      2          2
11      5          2
12      2          2
13      3          1
14      2          1
15      2          2
16      2          2
17      7          2
18      2          1
19      1          1
20      1          1
21      3          1
22      2          3
23      1          1
24      1          1
25      7          7
26      1          3
27      1          1
28      2          2
29      7          7
30      6          6
31      1          1
32      2          2
33      3          1
34      1          1
35      1          1
36      2          2
37      2          1
38      1          1

K-NN Classifier Fold 3:
k=1
Accuracy: 76.32
   Actual  Predicted
0       2          2
1       2          2
2       2          1
3       1          1
4       2          2
5       5          5
6       1          1
7       2          2
8       1          1
9       5          2
10      2          1
11      7          7
12      1          1
13      1          2
14      6          6
15      2          2
16      3          1
17      1          2
18      2          2
19      2          2
20      1          1
21      7          7
22      3          1
23      2          2
24      5          5
25      1          1
26      1          1
27      2          6
28      2          2
29      7          7
30      2          1
31      1          1
32      1          1
33      7          7
34      2          2
35      1          1
36      1          1
37      3          3

K-NN Classifier Fold 4:
k=1
Accuracy: 66.67
   Actual  Predicted
0       2          2
1       1          3
2       1          1
3       1          2
4       1          1
5       7          2
6       1          1
7       7          7
8       1          1
9       1          1
10      2          5
11      1          1
12      7          7
13      1          2
14      7          7
15      2          2
16      2          7
17      1          2
18      2          2
19      7          7
20      2          2
21      2          2
22      3          1
23      2          2
24      3          1
25      2          2
26      5          5
27      2          2
28      6          2
29      1          1
30      2          2
31      3          2
32      5          2
33      2          6
34      1          1
35      1          1
36      2          2
37      2          2
38      7          7

K-NN Classifier Fold 5:
k=1
Accuracy: 73.68
   Actual  Predicted
0       7          7
1       7          7
2       2          3
3       6          6
4       1          1
5       3          1
6       1          2
7       2          5
8       1          2
9       7          7
10      1          1
11      7          7
12      7          7
13      2          1
14      2          1
15      2          2
16      2          2
17      7          7
18      2          2
19      1          1
20      1          1
21      7          7
22      6          6
23      1          1
24      6          6
25      2          1
26      1          1
27      7          5
28      1          1
29      7          5
30      7          7
31      2          2
32      2          2
33      2          2
34      2          2
35      1          1
36      2          2
37      2          2


Dataset 1: Glass
K-NN Classification Accuracy:72.56410256410257

ENN Classifier Fold 1:
k=1
Accuracy: 61.54
   Actual  Predicted
0       2          1
1       1          1
2       2          2
3       7          7
4       1          1
5       2          2
6       1          1
7       2          1
8       1          2
9       6          2
10      3          3
11      2          2
12      7          7
13      2          2
14      1          1
15      2          1
16      6          6
17      1          1
18      1          2
19      2          2
20      5          2
21      1          1
22      3          1
23      1          1
24      1          1
25      1          1
26      3          2
27      7          1
28      1          1
29      1          1
30      2          2
31      2          3
32      2          1
33      5          6
34      2          2
35      7          7
36      5          2
37      2          6
38      2          2

ENN Classifier Fold 2:
k=1
Accuracy: 66.67
   Actual  Predicted
0       1          1
1       2          2
2       7          7
3       5          5
4       2          2
5       6          2
6       5          2
7       1          1
8       1          2
9       1          1
10      1          1
11      7          7
12      2          2
13      1          1
14      1          2
15      3          1
16      2          1
17      2          2
18      1          1
19      2          1
20      3          3
21      1          1
22      2          1
23      2          2
24      5          2
25      1          1
26      7          6
27      7          7
28      2          2
29      2          2
30      1          1
31      2          3
32      2          2
33      3          1
34      1          1
35      2          3
36      2          2
37      1          1
38      6          6

ENN Classifier Fold 3:
k=1
Accuracy: 68.42
   Actual  Predicted
0       2          2
1       1          2
2       1          2
3       7          2
4       1          1
5       2          2
6       2          2
7       2          2
8       1          1
9       2          2
10      2          2
11      1          1
12      5          2
13      5          2
14      1          1
15      2          2
16      1          1
17      1          1
18      3          2
19      5          5
20      1          1
21      2          2
22      7          7
23      1          1
24      6          7
25      2          2
26      2          2
27      1          1
28      7          7
29      3          1
30      2          2
31      2          3
32      2          2
33      1          3
34      2          1
35      3          1
36      7          7
37      1          1

ENN Classifier Fold 4:
k=1
Accuracy: 74.36
   Actual  Predicted
0       1          1
1       1          1
2       2          1
3       7          2
4       1          1
5       7          7
6       6          6
7       2          2
8       1          1
9       2          2
10      7          7
11      7          7
12      7          7
13      1          1
14      2          2
15      2          1
16      5          5
17      6          6
18      3          2
19      1          2
20      2          2
21      2          2
22      1          1
23      2          2
24      1          1
25      7          7
26      2          2
27      1          1
28      3          1
29      1          1
30      2          5
31      3          1
32      1          2
33      1          1
34      1          1
35      2          2
36      2          2
37      2          2
38      2          6

ENN Classifier Fold 5:
k=1
Accuracy: 65.79
   Actual  Predicted
0       3          2
1       1          1
2       1          1
3       2          1
4       2          1
5       1          1
6       1          1
7       7          7
8       1          1
9       2          1
10      1          2
11      2          2
12      3          3
13      1          1
14      7          7
15      2          1
16      7          7
17      1          1
18      1          1
19      3          1
20      3          1
21      1          1
22      1          1
23      6          6
24      2          2
25      1          1
26      7          7
27      2          2
28      2          3
29      1          2
30      2          1
31      2          2
32      1          2
33      7          7
34      2          5
35      7          7
36      1          1
37      2          2


Dataset 1: Glass
E-NN Classification Accuracy:67.3549257759784

CNN Classifier Fold 1:
k=1
Accuracy: 79.49
   Actual  Predicted
0       2          2
1       1          1
2       5          5
3       2          2
4       6          6
5       1          1
6       5          5
7       3          2
8       7          7
9       2          3
10      1          1
11      7          1
12      2          2
13      1          1
14      2          2
15      2          2
16      2          2
17      1          2
18      3          2
19      2          2
20      7          7
21      1          1
22      1          1
23      2          2
24      3          2
25      2          2
26      1          1
27      1          1
28      1          1
29      2          2
30      1          1
31      6          1
32      1          1
33      2          2
34      7          7
35      2          2
36      5          5
37      2          3
38      1          1

CNN Classifier Fold 2:
k=1
Accuracy: 71.79
   Actual  Predicted
0       1          1
1       2          2
2       7          7
3       2          2
4       1          1
5       1          1
6       5          7
7       1          1
8       2          2
9       1          1
10      1          3
11      2          2
12      6          6
13      2          2
14      1          2
15      5          2
16      2          2
17      3          3
18      2          1
19      6          6
20      2          2
21      7          7
22      2          5
23      1          2
24      2          7
25      2          2
26      2          1
27      3          3
28      2          2
29      1          1
30      1          1
31      7          7
32      2          2
33      3          1
34      7          7
35      1          1
36      5          2
37      1          1
38      1          1

CNN Classifier Fold 3:
k=1
Accuracy: 65.79
   Actual  Predicted
0       2          1
1       2          2
2       2          2
3       5          5
4       2          1
5       7          3
6       1          2
7       2          2
8       2          2
9       1          1
10      1          1
11      2          2
12      5          2
13      1          1
14      3          1
15      1          1
16      3          2
17      1          1
18      1          1
19      1          1
20      1          1
21      2          2
22      7          7
23      2          1
24      2          3
25      1          1
26      1          1
27      1          1
28      5          5
29      6          2
30      2          2
31      2          2
32      7          7
33      2          1
34      1          1
35      3          2
36      2          2
37      7          2

CNN Classifier Fold 4:
k=1
Accuracy: 66.67
   Actual  Predicted
0       3          2
1       2          2
2       2          1
3       7          7
4       2          1
5       5          5
6       2          1
7       1          3
8       2          2
9       7          7
10      1          2
11      3          3
12      1          1
13      5          5
14      1          2
15      2          2
16      2          2
17      2          2
18      2          1
19      2          3
20      7          7
21      7          7
22      1          1
23      6          6
24      1          2
25      1          1
26      7          7
27      2          6
28      1          1
29      2          2
30      1          1
31      3          1
32      2          2
33      1          1
34      1          1
35      1          1
36      2          5
37      7          7
38      1          1

CNN Classifier Fold 5:
k=1
Accuracy: 71.05
   Actual  Predicted
0       7          7
1       2          2
2       1          1
3       1          1
4       1          3
5       7          7
6       7          1
7       1          1
8       3          1
9       2          2
10      2          1
11      1          1
12      1          1
13      1          1
14      7          7
15      2          2
16      3          3
17      7          7
18      1          3
19      1          1
20      7          7
21      1          1
22      7          7
23      2          1
24      1          1
25      1          1
26      1          1
27      2          6
28      2          2
29      2          2
30      3          3
31      3          2
32      7          5
33      2          2
34      2          2
35      2          1
36      6          6
37      1          2


Dataset 1: Glass
C-NN Classification Accuracy:70.95816464237517

Dataset 2: Image Segmentation
K-NN Classifier Fold 1:
k=1
Accuracy: 86.84
       Actual  Predicted
0     FOLIAGE    FOLIAGE
1   BRICKFACE  BRICKFACE
2      CEMENT  BRICKFACE
3   BRICKFACE  BRICKFACE
4        PATH       PATH
5         SKY        SKY
6      CEMENT     CEMENT
7     FOLIAGE    FOLIAGE
8      WINDOW     WINDOW
9      WINDOW     WINDOW
10      GRASS      GRASS
11       PATH       PATH
12        SKY        SKY
13       PATH       PATH
14  BRICKFACE  BRICKFACE
15        SKY        SKY
16    FOLIAGE    FOLIAGE
17      GRASS      GRASS
18        SKY        SKY
19     WINDOW  BRICKFACE
20    FOLIAGE    FOLIAGE
21     WINDOW     WINDOW
22       PATH       PATH
23     CEMENT     CEMENT
24  BRICKFACE  BRICKFACE
25        SKY        SKY
26     CEMENT  BRICKFACE
27     WINDOW     WINDOW
28        SKY        SKY
29     WINDOW    FOLIAGE
30       PATH       PATH
31  BRICKFACE  BRICKFACE
32    FOLIAGE    FOLIAGE
33     CEMENT    FOLIAGE
34    FOLIAGE    FOLIAGE
35  BRICKFACE  BRICKFACE
36       PATH       PATH
37     CEMENT     CEMENT

K-NN Classifier Fold 2:
k=1
Accuracy: 89.47
       Actual  Predicted
0      WINDOW     WINDOW
1   BRICKFACE  BRICKFACE
2      CEMENT     CEMENT
3         SKY        SKY
4        PATH       PATH
5       GRASS      GRASS
6         SKY        SKY
7         SKY        SKY
8      CEMENT     CEMENT
9         SKY        SKY
10    FOLIAGE    FOLIAGE
11  BRICKFACE  BRICKFACE
12     CEMENT     CEMENT
13    FOLIAGE    FOLIAGE
14  BRICKFACE  BRICKFACE
15    FOLIAGE    FOLIAGE
16     WINDOW     WINDOW
17     CEMENT     CEMENT
18        SKY        SKY
19     WINDOW    FOLIAGE
20  BRICKFACE  BRICKFACE
21    FOLIAGE    FOLIAGE
22        SKY        SKY
23       PATH       PATH
24      GRASS      GRASS
25  BRICKFACE  BRICKFACE
26       PATH       PATH
27    FOLIAGE  BRICKFACE
28     WINDOW     WINDOW
29  BRICKFACE    FOLIAGE
30      GRASS      GRASS
31     WINDOW     WINDOW
32      GRASS      GRASS
33       PATH       PATH
34     WINDOW    FOLIAGE
35    FOLIAGE    FOLIAGE
36     CEMENT     CEMENT
37     CEMENT     CEMENT

K-NN Classifier Fold 3:
k=1
Accuracy: 84.21
       Actual  Predicted
0   BRICKFACE  BRICKFACE
1      CEMENT     CEMENT
2      WINDOW     WINDOW
3         SKY        SKY
4     FOLIAGE    FOLIAGE
5        PATH       PATH
6        PATH       PATH
7     FOLIAGE    FOLIAGE
8         SKY        SKY
9      WINDOW  BRICKFACE
10     CEMENT     CEMENT
11     CEMENT     CEMENT
12  BRICKFACE  BRICKFACE
13    FOLIAGE    FOLIAGE
14      GRASS      GRASS
15    FOLIAGE     WINDOW
16  BRICKFACE  BRICKFACE
17    FOLIAGE    FOLIAGE
18      GRASS      GRASS
19     WINDOW     CEMENT
20        SKY        SKY
21     WINDOW     WINDOW
22    FOLIAGE    FOLIAGE
23      GRASS      GRASS
24     CEMENT     CEMENT
25      GRASS      GRASS
26      GRASS      GRASS
27        SKY        SKY
28  BRICKFACE  BRICKFACE
29        SKY        SKY
30  BRICKFACE  BRICKFACE
31        SKY        SKY
32     CEMENT  BRICKFACE
33  BRICKFACE  BRICKFACE
34     WINDOW  BRICKFACE
35     CEMENT     CEMENT
36      GRASS      GRASS
37     WINDOW    FOLIAGE

K-NN Classifier Fold 4:
k=1
Accuracy: 92.11
       Actual  Predicted
0       GRASS      GRASS
1        PATH       PATH
2   BRICKFACE  BRICKFACE
3   BRICKFACE  BRICKFACE
4      WINDOW  BRICKFACE
5   BRICKFACE     CEMENT
6   BRICKFACE  BRICKFACE
7       GRASS      GRASS
8     FOLIAGE    FOLIAGE
9      CEMENT     CEMENT
10        SKY        SKY
11    FOLIAGE    FOLIAGE
12      GRASS      GRASS
13    FOLIAGE    FOLIAGE
14     WINDOW     WINDOW
15        SKY        SKY
16      GRASS      GRASS
17       PATH       PATH
18  BRICKFACE  BRICKFACE
19    FOLIAGE    FOLIAGE
20        SKY        SKY
21      GRASS      GRASS
22    FOLIAGE    FOLIAGE
23     CEMENT     CEMENT
24     CEMENT     CEMENT
25     CEMENT      GRASS
26       PATH       PATH
27        SKY        SKY
28        SKY        SKY
29  BRICKFACE  BRICKFACE
30    FOLIAGE    FOLIAGE
31     CEMENT     CEMENT
32     CEMENT     CEMENT
33       PATH       PATH
34       PATH       PATH
35       PATH       PATH
36        SKY        SKY
37      GRASS      GRASS

K-NN Classifier Fold 5:
k=1
Accuracy: 89.19
       Actual  Predicted
0        PATH       PATH
1     FOLIAGE    FOLIAGE
2       GRASS      GRASS
3   BRICKFACE  BRICKFACE
4       GRASS      GRASS
5        PATH       PATH
6       GRASS      GRASS
7       GRASS      GRASS
8     FOLIAGE    FOLIAGE
9        PATH       PATH
10     CEMENT     CEMENT
11       PATH       PATH
12       PATH       PATH
13     WINDOW    FOLIAGE
14     WINDOW     WINDOW
15      GRASS      GRASS
16     WINDOW     WINDOW
17      GRASS      GRASS
18     WINDOW    FOLIAGE
19     CEMENT     WINDOW
20       PATH       PATH
21       PATH       PATH
22     CEMENT     CEMENT
23     WINDOW     WINDOW
24       PATH       PATH
25       PATH       PATH
26     CEMENT     CEMENT
27     WINDOW     WINDOW
28  BRICKFACE  BRICKFACE
29       PATH       PATH
30    FOLIAGE    FOLIAGE
31  BRICKFACE  BRICKFACE
32      GRASS      GRASS
33     WINDOW     WINDOW
34      GRASS      GRASS
35      GRASS      GRASS
36    FOLIAGE     WINDOW


Dataset 2: Image Segmentation
K-NN Classification Accuracy:88.36415362731152

ENN Classifier Fold 1:
k=1
Accuracy: 68.42
       Actual  Predicted
0      WINDOW     WINDOW
1      WINDOW  BRICKFACE
2     FOLIAGE  BRICKFACE
3   BRICKFACE  BRICKFACE
4      CEMENT  BRICKFACE
5        PATH       PATH
6         SKY        SKY
7         SKY        SKY
8        PATH       PATH
9      CEMENT     CEMENT
10     CEMENT     CEMENT
11    FOLIAGE       PATH
12     WINDOW  BRICKFACE
13        SKY        SKY
14     WINDOW    FOLIAGE
15    FOLIAGE  BRICKFACE
16     CEMENT  BRICKFACE
17      GRASS      GRASS
18    FOLIAGE     CEMENT
19      GRASS      GRASS
20        SKY        SKY
21     WINDOW  BRICKFACE
22        SKY        SKY
23  BRICKFACE  BRICKFACE
24  BRICKFACE  BRICKFACE
25  BRICKFACE  BRICKFACE
26     CEMENT     CEMENT
27     CEMENT     CEMENT
28       PATH       PATH
29       PATH       PATH
30     WINDOW    FOLIAGE
31       PATH       PATH
32    FOLIAGE    FOLIAGE
33  BRICKFACE  BRICKFACE
34       PATH       PATH
35  BRICKFACE  BRICKFACE
36        SKY        SKY
37    FOLIAGE  BRICKFACE

ENN Classifier Fold 2:
k=1
Accuracy: 81.58
       Actual  Predicted
0        PATH       PATH
1   BRICKFACE  BRICKFACE
2     FOLIAGE    FOLIAGE
3   BRICKFACE  BRICKFACE
4      CEMENT     CEMENT
5       GRASS      GRASS
6       GRASS      GRASS
7      WINDOW     WINDOW
8      CEMENT     CEMENT
9      CEMENT  BRICKFACE
10        SKY        SKY
11     WINDOW  BRICKFACE
12     WINDOW     WINDOW
13      GRASS      GRASS
14     CEMENT     CEMENT
15      GRASS      GRASS
16        SKY        SKY
17        SKY        SKY
18       PATH       PATH
19        SKY        SKY
20     CEMENT     CEMENT
21        SKY        SKY
22    FOLIAGE    FOLIAGE
23  BRICKFACE  BRICKFACE
24    FOLIAGE  BRICKFACE
25     WINDOW  BRICKFACE
26  BRICKFACE  BRICKFACE
27        SKY        SKY
28    FOLIAGE  BRICKFACE
29     WINDOW     WINDOW
30  BRICKFACE  BRICKFACE
31       PATH       PATH
32    FOLIAGE    FOLIAGE
33  BRICKFACE     WINDOW
34     CEMENT     CEMENT
35    FOLIAGE     CEMENT
36     WINDOW     WINDOW
37       PATH       PATH

ENN Classifier Fold 3:
k=1
Accuracy: 78.95
       Actual  Predicted
0      CEMENT     CEMENT
1      WINDOW  BRICKFACE
2      WINDOW     WINDOW
3      WINDOW    FOLIAGE
4       GRASS      GRASS
5         SKY        SKY
6     FOLIAGE    FOLIAGE
7     FOLIAGE    FOLIAGE
8   BRICKFACE  BRICKFACE
9      CEMENT      GRASS
10  BRICKFACE  BRICKFACE
11     CEMENT     CEMENT
12  BRICKFACE     WINDOW
13  BRICKFACE    FOLIAGE
14      GRASS      GRASS
15    FOLIAGE    FOLIAGE
16  BRICKFACE  BRICKFACE
