Dataset 1: Breast Cancer
Logistic Regression Model for Fold 1:
n: 1
Epochs: 48
     Actual  Predicted
0         4          4
1         4          4
2         4          4
3         4          4
4         2          2
5         2          2
6         2          2
7         4          4
8         2          2
9         2          2
10        4          4
11        4          4
12        4          4
13        4          4
14        2          2
15        2          2
16        2          2
17        2          2
18        4          4
19        4          4
20        2          2
21        2          2
22        2          2
23        4          4
24        2          2
25        2          2
26        2          2
27        2          4
28        4          4
29        2          2
30        2          2
31        2          2
32        2          2
33        2          2
34        2          2
35        2          2
36        4          4
37        2          2
38        2          2
39        2          2
40        2          2
41        4          4
42        2          2
43        4          4
44        4          4
45        2          2
46        2          2
47        4          2
48        2          2
49        2          2
50        2          2
51        2          2
52        2          2
53        2          2
54        2          2
55        2          2
56        2          2
57        4          4
58        2          2
59        2          2
60        2          2
61        2          2
62        4          4
63        2          2
64        4          4
65        2          2
66        2          2
67        2          2
68        4          4
69        2          2
70        2          2
71        4          4
72        2          2
73        2          2
74        2          4
75        4          4
76        2          2
77        2          2
78        4          4
79        4          4
80        4          4
81        4          4
82        4          4
83        4          4
84        2          2
85        2          2
86        2          2
87        2          2
88        4          4
89        4          4
90        4          4
91        2          2
92        4          4
93        2          2
94        4          4
95        2          2
96        2          2
97        4          4
98        2          2
99        2          2
100       2          2
101       2          2
102       2          2
103       2          2
104       4          4
105       2          2
106       2          2
107       2          2
108       2          2
109       4          4
110       4          4
111       2          2
112       2          2
113       4          4
114       4          4
115       2          2
116       4          4
117       2          2
118       2          2
119       2          2
120       4          4
121       2          2
122       4          4
123       2          2
124       2          2
125       2          2
Error: 2.38

Logistic Regression Model for Fold 2:
n: 1
Epochs: 45
     Actual  Predicted
0         2          2
1         4          4
2         2          2
3         2          2
4         2          2
5         2          2
6         2          2
7         2          2
8         2          2
9         2          2
10        2          2
11        4          4
12        2          2
13        4          4
14        2          2
15        2          2
16        2          2
17        4          4
18        2          2
19        4          4
20        2          2
21        4          4
22        2          2
23        4          4
24        2          2
25        2          4
26        4          2
27        4          4
28        2          2
29        2          2
30        2          2
31        4          4
32        2          2
33        2          2
34        2          2
35        4          2
36        2          2
37        2          2
38        4          4
39        2          2
40        4          4
41        2          2
42        2          2
43        2          2
44        2          2
45        4          4
46        2          2
47        4          4
48        2          2
49        2          2
50        2          2
51        4          4
52        2          2
53        2          2
54        2          2
55        2          2
56        4          4
57        2          2
58        2          2
59        4          4
60        4          4
61        4          4
62        2          2
63        2          2
64        2          2
65        4          4
66        2          2
67        2          2
68        4          4
69        2          2
70        4          4
71        2          2
72        4          4
73        2          2
74        2          2
75        4          4
76        4          4
77        4          4
78        2          2
79        2          2
80        2          2
81        4          4
82        4          4
83        4          4
84        2          2
85        4          4
86        2          2
87        2          2
88        2          2
89        2          2
90        2          2
91        4          4
92        4          4
93        4          2
94        2          2
95        4          4
96        2          2
97        2          2
98        2          2
99        2          2
100       2          2
101       2          2
102       2          2
103       4          4
104       4          2
105       2          2
106       2          2
107       4          4
108       2          2
109       2          2
110       2          2
111       2          2
112       2          2
113       2          2
114       4          4
115       2          2
116       2          2
117       2          2
118       2          2
119       2          2
120       2          2
121       2          2
122       2          2
123       2          2
124       2          2
125       2          2
Error: 3.97

Logistic Regression Model for Fold 3:
n: 1
Epochs: 46
     Actual  Predicted
0         4          4
1         4          4
2         2          2
3         4          4
4         2          2
5         4          4
6         2          2
7         2          2
8         2          2
9         2          2
10        2          2
11        4          4
12        2          2
13        2          2
14        2          2
15        4          2
16        2          2
17        2          2
18        2          2
19        4          4
20        2          2
21        4          4
22        2          2
23        2          2
24        2          2
25        4          4
26        2          2
27        4          4
28        2          2
29        2          2
30        2          2
31        4          4
32        2          2
33        2          2
34        2          2
35        2          2
36        2          2
37        4          4
38        4          4
39        2          2
40        4          4
41        2          2
42        2          2
43        2          2
44        2          2
45        2          2
46        2          2
47        2          2
48        4          4
49        4          4
50        2          2
51        4          4
52        4          2
53        2          2
54        2          2
55        2          2
56        4          4
57        2          2
58        2          2
59        2          2
60        4          4
61        2          2
62        2          2
63        2          2
64        2          2
65        2          2
66        2          2
67        4          4
68        2          2
69        4          2
70        2          2
71        4          4
72        2          2
73        2          2
74        2          2
75        2          2
76        2          2
77        2          2
78        4          4
79        2          2
80        4          4
81        4          4
82        4          4
83        2          2
84        2          2
85        4          4
86        4          4
87        2          2
88        2          2
89        2          2
90        4          4
91        4          4
92        2          2
93        2          2
94        2          2
95        2          2
96        2          2
97        2          2
98        4          4
99        2          2
100       2          2
101       2          2
102       2          2
103       4          4
104       2          2
105       2          2
106       2          2
107       2          2
108       4          4
109       2          2
110       4          4
111       2          2
112       4          4
113       2          2
114       2          2
115       2          2
116       4          4
117       2          2
118       2          2
119       2          2
120       4          4
121       4          4
122       2          2
123       2          2
124       4          4
Error: 2.4

Logistic Regression Model for Fold 4:
n: 1
Epochs: 48
     Actual  Predicted
0         4          4
1         4          4
2         2          2
3         4          4
4         2          2
5         4          4
6         2          2
7         2          2
8         4          4
9         4          4
10        4          2
11        2          2
12        2          2
13        4          4
14        2          2
15        2          2
16        2          2
17        2          2
18        2          2
19        2          2
20        2          2
21        2          2
22        2          2
23        2          2
24        4          4
25        4          4
26        2          2
27        4          2
28        4          4
29        2          2
30        4          4
31        2          2
32        4          4
33        2          4
34        4          4
35        4          4
36        4          4
37        2          2
38        2          2
39        2          2
40        4          4
41        2          2
42        2          2
43        2          2
44        4          4
45        4          4
46        4          4
47        2          2
48        2          2
49        2          2
50        2          2
51        2          2
52        2          2
53        2          2
54        2          2
55        4          4
56        4          4
57        2          2
58        2          2
59        2          2
60        2          2
61        2          2
62        2          4
63        4          2
64        2          2
65        4          4
66        4          4
67        2          2
68        2          2
69        2          2
70        2          2
71        4          4
72        4          2
73        2          2
74        2          2
75        2          2
76        4          4
77        2          2
78        2          2
79        4          4
80        2          2
81        4          4
82        4          4
83        2          2
84        2          4
85        4          4
86        2          2
87        2          2
88        2          2
89        2          2
90        4          4
91        2          2
92        4          4
93        2          2
94        2          2
95        2          2
96        4          4
97        2          2
98        2          2
99        2          2
100       4          4
101       2          2
102       2          2
103       2          2
104       2          2
105       2          2
106       4          4
107       2          2
108       2          2
109       2          2
110       2          2
111       2          2
112       2          2
113       2          2
114       2          2
115       2          2
116       4          4
117       2          2
118       4          4
119       2          2
120       2          2
121       2          2
122       2          2
123       2          2
124       2          2
125       2          2
Error: 5.56

Logistic Regression Model for Fold 5:
n: 1
Epochs: 49
     Actual  Predicted
0         4          4
1         4          4
2         2          2
3         4          4
4         2          2
5         2          2
6         2          2
7         2          2
8         4          4
9         2          2
10        4          4
11        4          4
12        2          2
13        4          4
14        2          2
15        2          2
16        2          2
17        2          2
18        4          4
19        2          4
20        4          4
21        4          4
22        4          4
23        4          4
24        4          4
25        2          2
26        2          2
27        2          2
28        2          2
29        2          2
30        2          2
31        4          4
32        2          2
33        4          4
34        4          4
35        4          4
36        4          4
37        2          2
38        4          4
39        2          2
40        4          4
41        2          2
42        4          4
