Dataset 1: Breast Cancer
Feedforward Neural Network Model for Fold 1:
Number of Hidden Layers: 0
Number of Hidden Dimensions: 0
n: 1
Epochs: 5
     Actual  Predicted
0         2          2
1         2          2
2         2          2
3         2          2
4         4          4
5         2          2
6         2          2
7         4          4
8         4          4
9         2          2
10        2          2
11        4          2
12        2          2
13        2          2
14        2          2
15        2          2
16        4          4
17        4          2
18        4          2
19        4          4
20        2          2
21        4          4
22        4          4
23        2          2
24        2          2
25        4          2
26        4          4
27        4          4
28        2          2
29        2          2
30        2          2
31        2          2
32        2          2
33        4          4
34        2          2
35        2          2
36        4          4
37        4          4
38        4          2
39        2          2
40        4          4
41        2          2
42        2          2
43        4          2
44        2          2
45        2          2
46        4          4
47        2          2
48        2          2
49        2          2
50        4          2
51        2          2
52        4          4
53        2          2
54        2          2
55        2          2
56        2          2
57        2          2
58        2          2
59        2          2
60        4          2
61        2          2
62        4          4
63        2          2
64        2          2
65        4          4
66        4          4
67        4          4
68        2          2
69        2          2
70        2          2
71        4          4
72        2          2
73        2          2
74        2          2
75        2          2
76        4          4
77        2          2
78        4          4
79        4          4
80        4          4
81        2          2
82        2          2
83        4          2
84        4          4
85        2          2
86        2          2
87        2          2
88        2          2
89        2          2
90        4          4
91        2          2
92        2          2
93        2          2
94        2          2
95        2          2
96        2          2
97        2          2
98        2          2
99        2          2
100       2          2
101       2          4
102       4          4
103       4          4
104       2          2
105       4          4
106       2          2
107       2          2
108       4          2
109       4          4
110       2          2
111       2          2
112       4          4
113       2          2
114       4          4
115       2          2
116       2          2
117       2          2
118       4          4
119       4          4
120       2          2
121       2          2
122       2          2
123       2          2
124       2          2
125       2          2
Error: 8.73

Feedforward Neural Network Model for Fold 1:
Number of Hidden Layers: 1
Number of Hidden Dimensions: 4
n: 1
Epochs: 149
     Actual  Predicted
0         4          4
1         2          2
2         4          4
3         4          4
4         2          2
5         4          4
6         2          2
7         2          2
8         2          2
9         2          2
10        2          2
11        2          2
12        2          2
13        2          2
14        4          4
15        4          4
16        2          2
17        4          4
18        2          2
19        2          2
20        4          4
21        4          4
22        4          4
23        2          2
24        4          4
25        4          4
26        2          2
27        4          4
28        4          4
29        2          2
30        4          4
31        2          2
32        2          2
33        2          2
34        4          4
35        4          4
36        2          2
37        2          2
38        4          4
39        4          4
40        2          2
41        4          4
42        4          4
43        4          4
44        4          4
45        2          2
46        4          2
47        2          2
48        2          2
49        4          4
50        2          2
51        4          4
52        2          2
53        2          2
54        2          2
55        2          2
56        2          2
57        2          2
58        2          2
59        4          4
60        4          4
61        2          2
62        2          2
63        2          2
64        4          4
65        4          4
66        2          2
67        4          4
68        2          2
69        2          2
70        2          2
71        2          2
72        2          2
73        2          2
74        4          4
75        4          2
76        2          2
77        2          2
78        4          2
79        2          2
80        2          2
81        4          4
82        4          4
83        4          4
84        4          4
85        2          2
86        4          4
87        2          2
88        2          2
89        2          2
90        2          2
91        4          4
92        4          2
93        4          4
94        4          4
95        4          4
96        2          2
97        4          2
98        4          2
99        2          2
100       4          4
101       2          2
102       4          4
103       2          2
104       2          2
105       2          2
106       2          2
107       4          4
108       2          2
109       4          4
110       4          2
111       4          4
112       2          2
113       4          4
114       2          2
115       2          2
116       2          2
117       2          2
118       4          4
119       4          4
120       4          4
121       4          4
122       2          2
123       2          2
124       4          4
125       2          2
Error: 5.56

Feedforward Neural Network Model for Fold 1:
Number of Hidden Layers: 2
Number of Hidden Dimensions: [3, 2]
n: 0.01
Epochs: 197
     Actual  Predicted
0         4          4
1         2          2
2         2          2
3         4          4
4         4          4
5         2          2
6         4          4
7         2          2
8         4          4
9         4          4
10        4          2
11        2          2
12        2          2
13        2          2
14        4          4
15        4          4
16        4          4
17        2          2
