Type,Brand,Category,Fit,Size,Found,Size_type
Tops,Ralph Lauren,Casual Shirts,Slim,,,Categorical
Tops,Ralph Lauren,Casual Shirts,Regular,,,Categorical
Tops,Ralph Lauren,Polos,Slim,,,Categorical
Tops,Ralph Lauren,Polos,Regular,,,Categorical
Tops,Ralph Lauren,T-Shirt,Slim,,,Categorical
Tops,Ralph Lauren,T-Shirt,Regular,,,Categorical
Tops,Ralph Lauren,Vest,Regular,,,Categorical
Tops,Ralph Lauren,Formal Shirts,Slim,,,Numeric
Tops,Ralph Lauren,Formal Shirts,Regular,,,Numeric
Tops,Ralph Lauren,Sweaters,Slim,,,Categorical
Tops,Ralph Lauren,Sweaters,Regular,,,Categorical
Tops,Ralph Lauren,Knitwear,Regular,,,Categorical
Tops,Ralph Lauren,Hoodies,Slim,,,Categorical
Tops,Reiss,T-Shirt,Regular,,,Categorical
Tops,Reiss,T-Shirt,Slim,,,Categorical
Tops,Reiss,T-Shirt,None,,,Categorical
Tops,Reiss,Polos,Regular,,,Categorical
Tops,Reiss,Polos,Slim,,,Categorical
Tops,Reiss,Sweaters,Slim,,,Categorical
Tops,Reiss,Sweaters,Regular,,,Categorical
Tops,Reiss,Casual Shirts,Slim,,,Categorical
Tops,Reiss,Casual Shirts,Regular,,,Categorical
Tops,Reiss,Casual Outerwear,Slim,,,Categorical
Tops,Reiss,Blazer,Slim,,,Numeric
Tops,Reiss,Blazer,Regular,,,Numeric
Tops,Reiss,Blazer,None,,,Numeric
Tops,Reiss,Knitwear,Slim,,,Categorical
Tops,Reiss,Knitwear,None,,,Categorical
Tops,Reiss,Knitwear,Regular,,,Categorical
Tops,Reiss,Formal Shirts,Slim,,,Categorical
Tops,Reiss,Formal Shirts,Regular,,,Categorical
Tops,Reiss,Vest,None,,,Numeric
Tops,Reiss,Vest,Slim,,,Numeric
Tops,Reiss,Coats,Regular,,,Categorical
Tops,Money,T-Shirt,None,,,Categorical
Tops,Money,Hoodies,None,,,Categorical
Tops,Money,Polos,Regular,,,Categorical
Tops,Scott Blue,Polos,Slim,,,Categorical
Tops,Scott Blue,T-Shirt,Slim,,,Categorical
Tops,Scott Blue,Casual Shirts,Slim,,,Categorical
Tops,West LA,T-Shirt,Slim,,,Categorical
Tops,West LA,T-Shirt,Regular,,,Categorical
Tops,West LA,Casual Shirts,Slim,,,Categorical
Tops,Scotch & Soda,T-Shirt,Slim,,,Categorical
Tops,Scotch & Soda,T-Shirt,Regular,,,Categorical
Tops,Scotch & Soda,T-Shirt,Straight,,,Categorical
Tops,Scotch & Soda,T-Shirt,None,,,Categorical
Tops,Scotch & Soda,Polos,None,,,Categorical
Tops,Scotch & Soda,Polos,Regular,,,Categorical
Tops,Scotch & Soda,Casual Outerwear,None,,,Categorical
Tops,Scotch & Soda,Casual Outerwear,Regular,,,Categorical
Tops,Scotch & Soda,Casual Outerwear,Slim,,,Categorical
Tops,Scotch & Soda,Vest,Slim,,,Categorical
Tops,Scotch & Soda,Casual Shirts,Slim,,,Categorical
Tops,Scotch & Soda,Casual Shirts,Regular,,,Categorical
Tops,Scotch & Soda,Casual Shirts,Comfort,,,Categorical
Tops,Scotch & Soda,Knitwear,Regular,,,Categorical
Tops,Scotch & Soda,Knitwear,Slim,,,Categorical
Tops,Scotch & Soda,Sweaters,Slim,,,Categorical
Tops,Scotch & Soda,Sweaters,Regular,,,Categorical
Tops,Scotch & Soda,Blazer,Slim,,,Categorical
Tops,Scotch & Soda,Blazer,Regular,,,Categorical
Tops,Scotch & Soda,Formal Shirts,Slim,,,Categorical
Tops,Scotch & Soda,Formal Shirts,Regular,,,Categorical
Tops,Scotch & Soda,Hoodies,Slim,,,Categorical
Tops,Scotch & Soda,Hoodies,Regular,,,Categorical
Tops,Scotch & Soda,Sweatshirts,None,,,Categorical
Tops,Scotch & Soda,Sweatshirts,Regular,,,Categorical
Tops,Sobe,Casual Shirts,Slim,,,Categorical
Tops,Sobe,Polos,Slim,,,Categorical
Tops,Calvin Klein,T-Shirt,None,,,Categorical
Tops,Calvin Klein,T-Shirt,Regular,,,Categorical
Tops,Calvin Klein,T-Shirt,Slim,,,Categorical
Tops,Calvin Klein,Polos,Comfort,,,Categorical
Tops,Calvin Klein,Polos,None,,,Categorical
Tops,Calvin Klein,Casual Shirts,Regular,,,Categorical
Tops,Calvin Klein,Casual Shirts,Slim,,,Categorical
Tops,Calvin Klein,Hoodies,None,,,Categorical
Tops,Moss Bros,Formal Shirts,Slim,,,Numeric
Tops,Moss Bros,Formal Shirts,Regular,,,Numeric
Tops,Moss Bros,Blazer,Slim,,,Numeric
Tops,Moss Bros,Casual Shirts,Slim,,,Categorical
Tops,Cavanni,Casual Shirts,Slim,,,Numeric
Tops,Cavanni,Blazer,Slim,,,Numeric
Tops,Cavanni,Blazer,Regular,,,Numeric
Tops,Cavanni,Formal Shirts,Slim,,,Numeric
Tops,Cavanni,Formal Shirts,Regular,,,Categorical
Tops,Cavanni,Formal Shirts,None,,,Categorical
Tops,Skiny,T-Shirt,None,,,Categorical
Tops,Skiny,T-Shirt,Regular,,,Categorical
Tops,Skiny,T-Shirt,Slim,,,Categorical
Tops,Claudio Sartore,Blazer,Slim,,,Numeric
Tops,Claudio Sartore,Blazer,None,,,Numeric
Tops,Claudio Sartore,Blazer,Regular,,,Numeric
Tops,Claudio Sartore,Formal Shirts,None,,,Numeric
Tops,Claudio Sartore,Formal Shirts,Slim,,,Categorical
