0,1,2,3,4,5,6,7,8,9,10
27793,,,,,,,35.0,L,41.0,L
20935,,,,,,,33.0,L,41.0,L
20937,,,,,,,30.0,S,39.0,M
27797,,,,,,,34.0,L,40.0,M
1081,43,Tops,Scotch & Soda,T-Shirt,Slim,L,34.0,L,42,L
1081,53,Tops,Scotch & Soda,Casual Shirts,Slim,L,34.0,L,42,L
1081,235,Tops,ATELIER PRIVE,Casual Shirts,Slim,L,34.0,L,42,L
1081,251,Tops,Damat,Casual Shirts,Slim,L,34.0,L,42,L
1081,253,Tops,Damat,Blazer,Slim,50,34.0,L,42,L
1081,254,Tops,Cordone,Casual Shirts,Slim,42,34.0,L,42,L
1081,309,Bottoms,Scotch & Soda,Chinos,Slim,34,34.0,L,42,L
1081,374,Bottoms,Lacoste,Shorts,Regular,36,34.0,L,42,L
27795,,,,,,,34.0,S,39.0,M
12519,5,Tops,Ralph Lauren,T-Shirt,Regular,L,36.0,XL,41.0,L
12519,44,Tops,Scotch & Soda,T-Shirt,Regular,L,36.0,XL,41.0,L
12519,53,Tops,Scotch & Soda,Casual Shirts,Slim,L,36.0,XL,41.0,L
12519,60,Tops,Scotch & Soda,Blazer,Slim,L,36.0,XL,41.0,L
12519,146,Tops,Tommy Hilfiger,T-Shirt,Regular,L,36.0,XL,41.0,L
12519,199,Tops,Hackett,Casual Shirts,Slim,L,36.0,XL,41.0,L
12519,205,Tops,Dead Legacy,T-Shirt,Regular,XL,36.0,XL,41.0,L
12519,275,Bottoms,Ralph Lauren,Chinos,Slim,36,36.0,XL,41.0,L
12519,294,Bottoms,Hackett,Shorts,Slim,37,36.0,XL,41.0,L
12519,309,Bottoms,Scotch & Soda,Chinos,Slim,36,36.0,XL,41.0,L
12519,362,Bottoms,Diesel,Jeans,Slim,36,36.0,XL,41.0,L
12519,384,Bottoms,Scott Blue,Jeans,Skinny,36,36.0,XL,41.0,L
31631,,,,,,,34.0,L,40.0,M
27794,,,,,,,31.0,M,39.0,M
40587,,,,,,,34.0,XL,43.0,XL
27799,,,,,,,34.0,L,41.0,L
27800,,,,,,,32.0,M,38.0,S
27798,,,,,,,32.0,L,39.0,M
27801,,,,,,,34.0,L,41.0,L
41637,,,,,,,34.0,M,40.0,M
2150,53,Tops,Scotch & Soda,Casual Shirts,Slim,XXL,38.0,XXL,43.0,XL
2150,60,Tops,Scotch & Soda,Blazer,Slim,XXL,38.0,XXL,43.0,XL
2150,68,Tops,Sobe,Casual Shirts,Slim,XL,38.0,XXL,43.0,XL
2150,221,Tops,Van Gils,Blazer,Slim,56,38.0,XXL,43.0,XL
2150,293,Bottoms,Hackett,Chinos,Regular,38,38.0,XXL,43.0,XL
2150,309,Bottoms,Scotch & Soda,Chinos,Slim,38,38.0,XXL,43.0,XL
2150,330,Bottoms,Tommy Hilfiger,Chinos,Regular,38,38.0,XXL,43.0,XL
2150,331,Bottoms,Tommy Hilfiger,Chinos,Slim,38,38.0,XXL,43.0,XL
27803,,,,,,,32.0,S,38.0,S
27802,,,,,,,31.0,S,38.0,S
27804,,,,,,,32.0,L,42.0,XL
27806,,,,,,,32.0,S,39.0,M
27807,,,,,,,32.0,L,40.0,M
2151,68,Tops,Sobe,Casual Shirts,Slim,L,35.0,XL,41.0,L
2151,128,Tops,Alternative Apparel,T-Shirt,Slim,L,35.0,XL,41.0,L
2151,157,Tops,Tommy Hilfiger,Polos,Comfort,XL,35.0,XL,41.0,L
2151,199,Tops,Hackett,Casual Shirts,Slim,L,35.0,XL,41.0,L
2151,211,Tops,Diesel,Casual Shirts,Slim,XL,35.0,XL,41.0,L
2151,221,Tops,Van Gils,Blazer,Slim,53,35.0,XL,41.0,L
2151,222,Tops,Van Gils,Polos,Slim,L,35.0,XL,41.0,L
2151,223,Tops,Van Gils,Sweaters,Slim,XL,35.0,XL,41.0,L
2151,316,Bottoms,Scotch & Soda,Jeans,Slim,34,35.0,XL,41.0,L
2151,330,Bottoms,Tommy Hilfiger,Chinos,Regular,35,35.0,XL,41.0,L
2151,360,Bottoms,Van Gils,Formal Trousers,Slim,35,35.0,XL,41.0,L
2151,367,Bottoms,Diesel,Jeans,Straight,35,35.0,XL,41.0,L
2151,375,Bottoms,Lacoste,Jeans,Slim,35,35.0,XL,41.0,L
2151,377,Bottoms,Lacoste,Chinos,Slim,36,35.0,XL,41.0,L
9439,,,,,,,,,42.0,XL
27812,,,,,,,34.0,L,41.0,L
8743,,,,,,,36.0,L,40.0,L
27813,,,,,,,36.0,XL,43.0,XL
27815,,,,,,,38.0,XL,43.0,XL
3859,309,Bottoms,Scotch & Soda,Chinos,Slim,33,33.0,L,,
27809,,,,,,,33.0,L,40.0,M
27816,,,,,,,,,43.0,XL
27811,,,,,,,34.0,L,40.0,L
27808,,,,,,,36.0,XL,43.0,XL
27817,,,,,,,34.0,L,41.0,L
12157,,,,,,,36.0,L,41.0,L
27818,,,,,,,32.0,L,41.0,L
27820,,,,,,,35.0,XL,41.0,L
27819,,,,,,,34.0,L,41.0,L
27814,0,Tops,Ralph Lauren,Casual Shirts,Slim,L,33.0,L,41.0,L
27814,37,Tops,Scott Blue,Polos,Slim,M,33.0,L,41.0,L
27814,44,Tops,Scotch & Soda,T-Shirt,Regular,M,33.0,L,41.0,L
27814,155,Tops,Tommy Hilfiger,Polos,Slim,L,33.0,L,41.0,L
