,Type,Brand,Category,Fit,Size_type,Size,Found
0,Tops,Ralph Lauren,Casual Shirts,Slim,Categorical,,
1,Tops,Ralph Lauren,Casual Shirts,Regular,Categorical,,
2,Tops,Ralph Lauren,Polos,Slim,Categorical,,
3,Tops,Ralph Lauren,Polos,Regular,Categorical,,
4,Tops,Ralph Lauren,T-Shirt,Slim,Categorical,,
5,Tops,Ralph Lauren,T-Shirt,Regular,Categorical,,
6,Tops,Ralph Lauren,Vest,Regular,Categorical,,
7,Tops,Ralph Lauren,Formal Shirts,Slim,Numeric,,
8,Tops,Ralph Lauren,Formal Shirts,Regular,Numeric,,
9,Tops,Ralph Lauren,Sweaters,Slim,Categorical,,
10,Tops,Ralph Lauren,Sweaters,Regular,Categorical,,
11,Tops,Ralph Lauren,Knitwear,Regular,Categorical,,
12,Tops,Ralph Lauren,Hoodies,Slim,Categorical,,
13,Tops,Reiss,T-Shirt,Regular,Categorical,,
14,Tops,Reiss,T-Shirt,Slim,Categorical,,
15,Tops,Reiss,T-Shirt,None,Categorical,,
16,Tops,Reiss,Polos,Regular,Categorical,,
17,Tops,Reiss,Polos,Slim,Categorical,,
18,Tops,Reiss,Sweaters,Slim,Categorical,,
19,Tops,Reiss,Sweaters,Regular,Categorical,,
20,Tops,Reiss,Casual Shirts,Slim,Categorical,,
21,Tops,Reiss,Casual Shirts,Regular,Categorical,,
22,Tops,Reiss,Casual Outerwear,Slim,Categorical,,
23,Tops,Reiss,Blazer,Slim,Numeric,,
24,Tops,Reiss,Blazer,Regular,Numeric,,
25,Tops,Reiss,Blazer,None,Numeric,,
26,Tops,Reiss,Knitwear,Slim,Categorical,,
27,Tops,Reiss,Knitwear,None,Categorical,,
28,Tops,Reiss,Knitwear,Regular,Categorical,,
29,Tops,Reiss,Formal Shirts,Slim,Categorical,,
30,Tops,Reiss,Formal Shirts,Regular,Categorical,,
31,Tops,Reiss,Vest,None,Numeric,,
32,Tops,Reiss,Vest,Slim,Numeric,,
33,Tops,Reiss,Coats,Regular,Categorical,,
34,Tops,Money,T-Shirt,None,Categorical,,
35,Tops,Money,Hoodies,None,Categorical,,
36,Tops,Money,Polos,Regular,Categorical,,
37,Tops,Scott Blue,Polos,Slim,Categorical,,
38,Tops,Scott Blue,T-Shirt,Slim,Categorical,,
39,Tops,Scott Blue,Casual Shirts,Slim,Categorical,,
40,Tops,West LA,T-Shirt,Slim,Categorical,,
41,Tops,West LA,T-Shirt,Regular,Categorical,,
42,Tops,West LA,Casual Shirts,Slim,Categorical,,
43,Tops,Scotch & Soda,T-Shirt,Slim,Categorical,,
44,Tops,Scotch & Soda,T-Shirt,Regular,Categorical,,
45,Tops,Scotch & Soda,T-Shirt,Straight,Categorical,,
46,Tops,Scotch & Soda,T-Shirt,None,Categorical,,
47,Tops,Scotch & Soda,Polos,None,Categorical,,
48,Tops,Scotch & Soda,Polos,Regular,Categorical,,
49,Tops,Scotch & Soda,Casual Outerwear,None,Categorical,,
50,Tops,Scotch & Soda,Casual Outerwear,Regular,Categorical,,
51,Tops,Scotch & Soda,Casual Outerwear,Slim,Categorical,,
52,Tops,Scotch & Soda,Vest,Slim,Categorical,,
53,Tops,Scotch & Soda,Casual Shirts,Slim,Categorical,,
54,Tops,Scotch & Soda,Casual Shirts,Regular,Categorical,,
55,Tops,Scotch & Soda,Casual Shirts,Comfort,Categorical,,
56,Tops,Scotch & Soda,Knitwear,Regular,Categorical,,
57,Tops,Scotch & Soda,Knitwear,Slim,Categorical,,
58,Tops,Scotch & Soda,Sweaters,Slim,Categorical,,
59,Tops,Scotch & Soda,Sweaters,Regular,Categorical,,
60,Tops,Scotch & Soda,Blazer,Slim,Categorical,,
61,Tops,Scotch & Soda,Blazer,Regular,Categorical,,
62,Tops,Scotch & Soda,Formal Shirts,Slim,Categorical,,
63,Tops,Scotch & Soda,Formal Shirts,Regular,Categorical,,
64,Tops,Scotch & Soda,Hoodies,Slim,Categorical,,
65,Tops,Scotch & Soda,Hoodies,Regular,Categorical,,
66,Tops,Scotch & Soda,Sweatshirts,None,Categorical,,
67,Tops,Scotch & Soda,Sweatshirts,Regular,Categorical,,
68,Tops,Sobe,Casual Shirts,Slim,Categorical,,
69,Tops,Sobe,Polos,Slim,Categorical,,
70,Tops,Calvin Klein,T-Shirt,None,Categorical,,
71,Tops,Calvin Klein,T-Shirt,Regular,Categorical,,
72,Tops,Calvin Klein,T-Shirt,Slim,Categorical,,
73,Tops,Calvin Klein,Polos,Comfort,Categorical,,
74,Tops,Calvin Klein,Polos,None,Categorical,,
75,Tops,Calvin Klein,Casual Shirts,Regular,Categorical,,
76,Tops,Calvin Klein,Casual Shirts,Slim,Categorical,,
77,Tops,Calvin Klein,Hoodies,None,Categorical,,
78,Tops,Moss Bros,Formal Shirts,Slim,Numeric,,
79,Tops,Moss Bros,Formal Shirts,Regular,Numeric,,
80,Tops,Moss Bros,Blazer,Slim,Numeric,,
81,Tops,Moss Bros,Casual Shirts,Slim,Categorical,,
82,Tops,Cavanni,Casual Shirts,Slim,Numeric,,
83,Tops,Cavanni,Blazer,Slim,Numeric,,
84,Tops,Cavanni,Blazer,Regular,Numeric,,
85,Tops,Cavanni,Formal Shirts,Slim,Numeric,,
86,Tops,Cavanni,Formal Shirts,Regular,Categorical,,
87,Tops,Cavanni,Formal Shirts,None,Categorical,,
88,Tops,Skiny,T-Shirt,None,Categorical,,
89,Tops,Skiny,T-Shirt,Regular,Categorical,,
90,Tops,Skiny,T-Shirt,Slim,Categorical,,
91,Tops,Claudio Sartore,Blazer,Slim,Numeric,,
92,Tops,Claudio Sartore,Blazer,None,Numeric,,
93,Tops,Claudio Sartore,Blazer,Regular,Numeric,,
94,Tops,Claudio Sartore,Formal Shirts,None,Numeric,,
95,Tops,Claudio Sartore,Formal Shirts,Slim,Categorical,,
96,Tops,Claudio Sartore,T-Shirt,None,Categorical,,
97,Tops,Claudio Sartore,Polos,None,Categorical,,
