,user_id,user_weight,user_height,user_shirts_fit,user_pants_fit,user_waist_size,user_shirt_size,user_blazer_size,type,brand,category,fit,purchased,reason,size
0,47,82.0,194.0,,,32,M,50,Tops,SuitSupply,Formal Shirts,Slim,yes,,39
1,47,82.0,194.0,,,32,M,50,Tops,SuitSupply,Formal Shirts,Slim,yes,,39
2,66,72.0,183.0,,,,M,,Tops,SuitSupply,Formal Shirts,Slim,yes,,39
3,68,102.0,174.0,,,36,XXL,,Bottoms,Japan Rags,Jeans,Slim,yes,,36
4,54,92.0,188.0,,,34,,52,Bottoms,SuitSupply,Casual Trousers,Slim,yes,,32
5,54,92.0,188.0,,,34,,52,Tops,one 90 One,T-Shirt,Slim,yes,,L
6,9,65.0,175.0,Slim Fit,Slim Fit,,,,Tops,Japan Rags,T-Shirt,Regular,yes,,XXL
7,9,65.0,175.0,Slim Fit,Slim Fit,,,,Tops,Japan Rags,T-Shirt,Slim,yes,,XL
8,9,65.0,175.0,Slim Fit,Slim Fit,,,,Tops,Japan Rags,T-Shirt,Slim,yes,,XL
9,9,65.0,175.0,Slim Fit,Slim Fit,,,,Bottoms,Japan Rags,Jeans,Slim,yes,,34
10,9,65.0,175.0,Slim Fit,Slim Fit,,,,Bottoms,Japan Rags,Jeans,Slim,yes,,34
11,55,74.0,178.0,,,30,M,,Tops,one 90 One,T-Shirt,Slim,yes,,M
12,55,74.0,178.0,,,30,M,,Tops,one 90 One,T-Shirt,Slim,yes,,M
13,55,74.0,178.0,,,30,M,,Suits,SuitSupply,Suits,Slim,yes,,48
14,55,74.0,178.0,,,30,M,,Bottoms,AG Jeans,Chinos,Slim,yes,,32
15,55,74.0,178.0,,,30,M,,Shoes,SuitSupply,Derby,None,yes,,42
16,59,63.0,160.0,,,,S,,Tops,SuitSupply,Knitwear,Slim,yes,,M
17,48,88.0,184.0,,,,M,,Tops,SuitSupply,Formal Shirts,Slim,yes,,42
18,48,88.0,184.0,,,,M,,Tops,one 90 One,Casual Shirts,Regular,yes,,M
19,48,88.0,184.0,,,,M,,Tops,one 90 One,Casual Shirts,Regular,yes,,M
20,48,88.0,184.0,,,,M,,Tops,one 90 One,Casual Shirts,Comfort,yes,,M
21,60,60.0,168.0,Slim Fit,Slim Fit,29,S,46,Tops,SuitSupply,Formal Shirts,Slim,yes,,38
22,60,60.0,168.0,Slim Fit,Slim Fit,29,S,46,Tops,Ralph Lauren,Formal Shirts,Slim,yes,,15
