product_group_id,brand,color,type,category,season,print,sleeve,fit,other_tags,color_shade
3242,Ralph Lauren,Navy,Tops,Casual Shirts,AW19,Plain,Shortsleeve,Slim,Button Down,Dark
233,Ralph Lauren,Gray,Tops,Polos,AW14,Plain,Shortsleeve,Slim,None,Light
218,Ralph Lauren,Pink,Tops,Casual Shirts,SS17,Check / plaid,Longsleeve,Regular,Button Down,Light
3216,Ralph Lauren,Pink,Tops,Casual Shirts,AW19,Plain,Longsleeve,Regular,None,Light
222,Ralph Lauren,White,Tops,Casual Shirts,AW17,Plain,Longsleeve,Slim,Button Down,Light
227,Ralph Lauren,Burgundy,Tops,Casual Shirts,AW17,Check / plaid,Longsleeve,Regular,Button Down,Dark
226,Ralph Lauren,Beige,Bottoms,Chinos,SS17,Plain,None,Slim,None,Light
288,Ralph Lauren,Navy,Tops,Casual Shirts,AW17,Dots,Longsleeve,Regular,Button Down,Dark
303,Ralph Lauren,Orange,Tops,Polos,AW17,Plain,Shortsleeve,Regular,None,Light
391,Ralph Lauren,Navy,Tops,T-Shirt,AW17,Plain,Shortsleeve,Slim,"Crew neck,Patch",Dark
366,Ralph Lauren,Yellow,Tops,Polos,AW14,Plain,Shortsleeve,Slim,None,Light
412,Ralph Lauren,Green,Tops,Casual Shirts,SS17,Plain,Longsleeve,Regular,Button Down,Medium
444,Ralph Lauren,White,Tops,Casual Shirts,AW17,Plain,Longsleeve,Regular,Button Down,Light
452,Ralph Lauren,White,Tops,Polos,AW17,Plain,Shortsleeve,Regular,None,Light
455,Ralph Lauren,Navy,Tops,Vest,AW17,Plain,Shortsleeve,Regular,None,Dark
410,Ralph Lauren,Burgundy,Tops,Polos,AW14,Graphic,Shortsleeve,Regular,None,Dark
513,Ralph Lauren,Gray,Tops,Polos,AW14,Graphic,Longsleeve,Regular,None,Light
479,Ralph Lauren,Yellow,Tops,Casual Shirts,SS17,Plain,Longsleeve,Slim,Button Down,Light
463,Ralph Lauren,Beige,Bottoms,Chinos,AW17,Plain,None,Slim,None,Light
527,Ralph Lauren,White,Tops,T-Shirt,AW17,Plain,Longsleeve,Regular,Mandarin,Light
556,Ralph Lauren,Green,Tops,Polos,AW14,Graphic,Longsleeve,Regular,None,Medium
645,Ralph Lauren,Navy,Tops,Polos,AW17,Plain,Shortsleeve,Slim,None,Dark
673,Ralph Lauren,Blue,Tops,Formal Shirts,AW14,Check / plaid,Longsleeve,Slim,Button Down,Medium
694,Ralph Lauren,Gray,Tops,Polos,AW14,Graphic,Shortsleeve,Regular,None,Light
665,Ralph Lauren,Pink,Tops,Casual Shirts,SS17,Plain,Longsleeve,Regular,Button Down,Light
675,Ralph Lauren,Green,Tops,Polos,AW17,Plain,Shortsleeve,Regular,None,Medium
700,Ralph Lauren,Beige,Bottoms,Chinos,AW17,Plain,None,Regular,None,Light
769,Ralph Lauren,Blue,Tops,Casual Shirts,SS17,Plain,Longsleeve,Slim,Button Down,Medium
733,Ralph Lauren,Red,Tops,Polos,AW14,Graphic,Shortsleeve,Regular,None,Medium
723,Ralph Lauren,Beige,Tops,Casual Shirts,AW17,Plain,Longsleeve,Regular,"Down,Flap",Light
813,Ralph Lauren,Pink,Tops,Casual Shirts,SS17,Plain,Longsleeve,Regular,Button Down,Light
824,Ralph Lauren,Gray,Tops,T-Shirt,AW17,Plain,Shortsleeve,Regular,"Crew neck,Patch",Light
844,Ralph Lauren,Orange,Tops,T-Shirt,AW17,Plain,Shortsleeve,Regular,"Crew neck,Patch",Light
885,Ralph Lauren,White,Shoes,Sneakers,AW14,Plain,None,None,None,Light
924,Ralph Lauren,Navy,Tops,Polos,AW14,Graphic,Shortsleeve,Regular,None,Dark
922,Ralph Lauren,Olive,Bottoms,Chinos,SS17,Plain,None,Slim,None,Dark
962,Ralph Lauren,Blue,Tops,Casual Shirts,AW17,Plain,Longsleeve,Slim,Button Down,Medium
972,Ralph Lauren,Pink,Tops,Formal Shirts,AW14,Plain,Longsleeve,Slim,Button Down,Light
953,Ralph Lauren,Navy,Tops,Sweaters,AW17,Plain,Longsleeve,Slim,V neck,Dark
1079,Ralph Lauren,White,Tops,Casual Shirts,SS17,Plain,Longsleeve,Regular,Button Down,Light
1072,Ralph Lauren,White,Tops,Polos,AW14,Plain,Shortsleeve,Slim,None,Light
1110,Ralph Lauren,Black,Shoes,Sneakers,AW14,Plain,None,None,None,Dark
1144,Ralph Lauren,Red,Tops,Polos,AW14,Graphic,Shortsleeve,Regular,None,Medium
1160,Ralph Lauren,Red,Tops,T-Shirt,AW14,Graphic,Shortsleeve,Regular,Crew neck,Medium
1134,Ralph Lauren,Green,Tops,Casual Shirts,SS17,Plain,Longsleeve,Regular,Button Down,Medium
1147,Ralph Lauren,Blue,Tops,Polos,AW14,Plain,Shortsleeve,Slim,None,Medium
3503,Ralph Lauren,Purple,Tops,Casual Shirts,AW19,Plain,Longsleeve,Slim,Button Down,Dark
1215,Ralph Lauren,Blue,Tops,Casual Shirts,SS17,Stripe,Longsleeve,Regular,Button Down,Medium
1259,Ralph Lauren,White,Tops,Formal Shirts,AW14,Plain,Longsleeve,Slim,Button Down,Light
1332,Ralph Lauren,Olive,Tops,Casual Shirts,SS17,Plain,Longsleeve,Regular,Down,Dark
1411,Ralph Lauren,Dark Gray,Tops,Knitwear,AW17,Plain,Longsleeve,Regular,None,Dark
1441,Ralph Lauren,Light blue,Tops,Casual Shirts,SS17,Check / plaid,Longsleeve,Regular,Button Down,Light
1471,Ralph Lauren,Black,Tops,Polos,AW14,Plain,Shortsleeve,Slim,None,Dark
1526,Ralph Lauren,Navy,Tops,Polos,AW14,Graphic,Longsleeve,Regular,None,Dark
221,Ralph Lauren,Beige,Bottoms,Chinos,AW17,Plain,None,Slim,None,Light
2101,Vilebrequin,Navy,Bottoms,Swim,SS18,Plain,None,Regular,None,Dark
1488,Ralph Lauren,Navy,Tops,Polos,AW17,Plain,Shortsleeve,Regular,None,Dark
1544,Ralph Lauren,Blue,Tops,Casual Shirts,SS17,Plain,Longsleeve,Slim,Button Down,Medium
1566,Ralph Lauren,Yellow,Tops,Polos,AW14,Plain,Shortsleeve,Slim,None,Light
1605,Ralph Lauren,Blue,Tops,Casual Shirts,SS17,Check / plaid,Longsleeve,Regular,Button Down,Medium
1555,Ralph Lauren,Gray,Shoes,Sneakers,AW14,Plain,None,None,None,Light
1651,Ralph Lauren,Green,Tops,Polos,AW14,Graphic,Shortsleeve,Regular,None,Medium
1636,Ralph Lauren,Blue,Tops,Casual Shirts,SS17,Plain,Longsleeve,Regular,Button Down,Medium
1640,Ralph Lauren,Blue,Tops,Casual Shirts,AW17,Plain,Longsleeve,Regular,Button Down,Medium
1663,Ralph Lauren,Navy,Shoes,Boots,AW14,Plain,None,None,None,Dark
1731,Ralph Lauren,Green,Tops,Polos,AW14,Graphic,Shortsleeve,Regular,None,Medium
1710,Ralph Lauren,Pink,Tops,Casual Shirts,AW17,Plain,Longsleeve,Slim,Button Down,Light
1719,Ralph Lauren,Olive,Tops,Casual Shirts,AW17,Plain,Longsleeve,Slim,Button Down,Dark
1790,Ralph Lauren,White,Tops,Formal Shirts,AW14,Plain,Longsleeve,Slim,Button Down,Light
1787,Ralph Lauren,Pink,Tops,Casual Shirts,SS17,Plain,Longsleeve,Slim,Button Down,Light
1792,Ralph Lauren,Gray,Tops,Casual Shirts,AW17,Plain,Longsleeve,Regular,Button Down,Light
1802,Ralph Lauren,Blue,Tops,Casual Shirts,AW17,Plain,Longsleeve,Slim,Button Down,Medium
1772,Ralph Lauren,Black,Tops,Polos,AW14,Plain,Shortsleeve,Slim,None,Dark
1750,Ralph Lauren,Blue,Tops,Polos,AW14,Graphic,Shortsleeve,Regular,None,Medium
1813,Ralph Lauren,Red,Tops,T-Shirt,AW17,Plain,Shortsleeve,Slim,"Crew neck,Patch",Medium
1837,Ralph Lauren,Beige,Tops,Polos,AW14,Graphic,Longsleeve,Regular,None,Light
3207,Ralph Lauren,Blue,Tops,Casual Shirts,AW19,None,Longsleeve,Slim,Button Down,Medium
3211,Ralph Lauren,Green,Bottoms,Chinos,AW19,None,None,Slim,None,Medium
3218,Ralph Lauren,Green,Tops,T-Shirt,AW19,Plain,Shortsleeve,Slim,Crew neck,Medium
3231,Ralph Lauren,Navy,Tops,T-Shirt,AW19,Graphic,Shortsleeve,Slim,Crew neck,Dark
3232,Ralph Lauren,White,Tops,T-Shirt,AW19,Graphic,Shortsleeve,Slim,Crew neck,Light
3237,Ralph Lauren,Yellow,Tops,Casual Shirts,AW19,Plain,Longsleeve,Slim,Button Down,Light
