,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,track id,artist id,genres_1,genres_2,genres_3,genres_4
0,Lucky Man,Montgomery Gentry,spotify:track:4GiXBCUF7H6YfNQsnBRIzl,0.578,0.47100000000000003,4,-7.27,1,0.0289,0.368,0.0,0.159,0.532,133.061,196707,4,30.88059,13,1,4GiXBCUF7H6YfNQsnBRIzl,3bGXaFVQLASmDMdjjeJr8a,contemporary country,country,country road,modern country rock
1,On The Hotline,Pretty Ricky,spotify:track:1zyqZONW985Cs4osz9wlsu,0.7040000000000001,0.8540000000000001,10,-5.477,0,0.183,0.0185,0.0,0.14800000000000002,0.688,92.988,242587,4,41.51106,10,1,1zyqZONW985Cs4osz9wlsu,6XwcepfAsPhrvwziGxhwju,dance pop,deep pop r&b,dirty south rap,hip hop
2,Clouds Of Dementia,Candlemass,spotify:track:6cHZf7RbxXCKwEkgAZT4mY,0.162,0.836,9,-3.009,1,0.0473,0.00011100000000000001,0.00457,0.174,0.3,86.964,338893,4,65.32887,13,0,6cHZf7RbxXCKwEkgAZT4mY,7zDtfSB0AOZWhpuAHZIOw5,death metal,doom metal,epic doom,groove metal
3,"Heavy Metal, Raise Hell!",Zwartketterij,spotify:track:2IjBPp2vMeX7LggzRN3iSX,0.188,0.9940000000000001,4,-3.745,1,0.166,7.39e-06,0.0784,0.192,0.33299999999999996,148.44,255667,4,58.59528,9,0,2IjBPp2vMeX7LggzRN3iSX,4jGKpLbPpdhjmXkJSXbqtK,dutch black metal,0,0,0
4,I Got A Feelin',Billy Currington,spotify:track:1tF370eYXUcWwkIvaq3IGz,0.63,0.764,2,-4.353,1,0.0275,0.363,0.0,0.125,0.631,112.098,193760,4,22.623839999999998,10,1,1tF370eYXUcWwkIvaq3IGz,1By9QBFnjZAoI83BZppHlt,contemporary country,country,country road,modern country rock
5,Dantzig Station,State Of Art,spotify:track:5Z3nrC0JbJmXaOGiXTuNFk,0.726,0.8370000000000001,11,-7.223,0,0.0965,0.373,0.268,0.136,0.9690000000000001,135.347,192720,4,28.290509999999998,10,0,5Z3nrC0JbJmXaOGiXTuNFk,296MWsDlkDsnLb043EeIF8,italian new wave,0,0,0
6,Divorced,Blacklisted,spotify:track:0iAdSLiQBIizTAiLUP7p5E,0.365,0.922,1,-2.6439999999999997,1,0.071,0.00285,0.0,0.321,0.29,77.25,89427,4,45.77202,4,0,0iAdSLiQBIizTAiLUP7p5E,5Rk9nXVSA2RzBdef3aTJPR,chaotic hardcore,hardcore,melodic hardcore,pennsylvania hardcore
7,Where I Come From,Alan Jackson,spotify:track:6ej1QJ8eIYmhsyTlvgDajy,0.726,0.631,11,-8.136000000000001,0,0.0334,0.22,0.0,0.193,0.746,124.711,239240,4,35.59732,10,1,6ej1QJ8eIYmhsyTlvgDajy,4mxWe1mtYIYfP040G38yvS,contemporary country,country,country road,0
8,Nothin' To Die For,Tim McGraw,spotify:track:3lRSz6HujrSy9b3LXg2Kq9,0.48100000000000004,0.7859999999999999,10,-5.654,1,0.0288,0.0538,0.0,0.0759,0.389,153.105,253640,4,19.65701,11,1,3lRSz6HujrSy9b3LXg2Kq9,6roFdX1y5BYSbp60OTJWMd,contemporary country,country,country road,0
9,I Want to Know Your Plans,Say Anything,spotify:track:3pjnCLIHbRczUjenWOEo56,0.647,0.324,7,-9.679,1,0.0377,0.354,0.0,0.115,0.344,124.213,314286,3,32.66343,16,0,3pjnCLIHbRczUjenWOEo56,3ImqpXKKgkH5VydfgX1hd4,dreamo,emo,modern rock,neon pop punk
10,F.U.R.B. (F U Right Back),Frankee,spotify:track:7jElrCgQJBcVLsbMRKni2t,0.787,0.632,8,-3.487,1,0.13699999999999998,0.10300000000000001,6.78e-06,0.38799999999999996,0.612,141.026,198173,4,18.090999999999998,9,1,7jElrCgQJBcVLsbMRKni2t,01U4snBkRWq0FBrK3P1mwM,0,0,0,0
11,Amarillo Sky,Jason Aldean,spotify:track:0axUHkhMMY0YSC1jFBVWqv,0.491,0.7759999999999999,2,-3.887,1,0.0393,0.314,0.0,0.146,0.428,154.988,202547,4,37.86861,9,1,0axUHkhMMY0YSC1jFBVWqv,3FfvYsEGaIb52QPXhg4DcH,contemporary country,country,country road,0
12,Gin And Juice,Hot Rod Circuit,spotify:track:1xthH0Ze4FYo2y99QuJUUj,0.455,0.737,1,-6.206,1,0.0272,0.00114,0.000487,0.195,0.20600000000000002,94.02799999999999,224053,4,62.777590000000004,9,0,1xthH0Ze4FYo2y99QuJUUj,209McJAEbNbvQXsnuNJZJw,emo,emo punk,0,0
13,Six-Pack Summer,Phil Vassar,spotify:track:23qDMWnwf8p0pr5slljB6i,0.725,0.733,0,-6.66,1,0.0242,0.508,0.0,0.17300000000000001,0.843,100.311,219827,4,27.0663,8,1,23qDMWnwf8p0pr5slljB6i,1XhhO2dTs2fKyhILj0aam6,contemporary country,country,country road,modern country rock
14,Hatho Pai Kariya Na Kar,Kartar Ramla,spotify:track:7KA8tQVcGqCHHdGwSCRi6v,0.49700000000000005,0.42100000000000004,2,-14.059000000000001,0,0.187,0.985,0.8390000000000001,0.14800000000000002,0.804,92.19,232719,4,33.3613,15,0,7KA8tQVcGqCHHdGwSCRi6v,6Dy7t6ELZYEMhw9WNZ9IIF,indian folk,0,0,0
15,Serious Hardcore - Original Mix,Ham,spotify:track:6mGnxmegYYJA2TkhXCbOkb,0.509,0.9420000000000001,11,-6.899,1,0.0628,0.0006389999999999999,0.882,0.0788,0.163,169.96,460080,4,34.78597,12,0,6mGnxmegYYJA2TkhXCbOkb,0SaKau45p7bLauh7j5zDTd,bouncy house,happy hardcore,0,0
16,Daddy Won't Sell The Farm,Montgomery Gentry,spotify:track:2Wt173KM9i97KSB52qCuqj,0.708,0.728,7,-7.039,1,0.0298,0.011000000000000001,2.26e-05,0.0556,0.7040000000000001,119.881,258640,4,33.81641,15,1,2Wt173KM9i97KSB52qCuqj,3bGXaFVQLASmDMdjjeJr8a,contemporary country,country,country road,modern country rock
17,Move Along,The All-American Rejects,spotify:track:2l57cfmCnOkwNX1tky02n1,0.518,0.9159999999999999,3,-3.858,1,0.0454,0.000148,0.0,0.29100000000000004,0.6459999999999999,109.86399999999999,238880,4,19.81215,10,1,2l57cfmCnOkwNX1tky02n1,3vAaWhdBR38Q02ohXqaNHT,modern rock,neo mellow,pop punk,pop rock
18,Era De Maggio,Tito Schipa,spotify:track:1YJ7qQEFIkh2r8VEb5X8lp,0.395,0.248,1,-10.025,1,0.0519,0.9790000000000001,0.0,0.177,0.324,85.17399999999999,207888,3,34.502520000000004,10,0,1YJ7qQEFIkh2r8VEb5X8lp,3OJid9CjABtxcDoW5yQB0L,opera,vintage classical singing,0,0
19,Apply Some Pressure,Maximo Park,spotify:track:19503qDaxgCdPL2BhJngij,0.37799999999999995,0.953,9,-3.6319999999999997,1,0.138,0.000719,2.8899999999999998e-05,0.0936,0.512,167.808,200347,4,20.58661,12,0,19503qDaxgCdPL2BhJngij,048FBwXjFYBWxSggPDipic,britpop,dance-punk,garage rock,indie rock
20,It's So Hard,Big Punisher Featuring Donell Jones,spotify:track:5NQdweL8O7nGdM7e4IS1lf,0.9,0.593,10,-6.629,0,0.33299999999999996,0.0554,0.0,0.0304,0.633,92.946,172933,4,21.78144,9,1,5NQdweL8O7nGdM7e4IS1lf,2Xu7q46Hf02xOoEIm4E1Qs,bronx hip hop,east coast hip hop,gangster rap,hardcore hip hop
21,Celtic Pride,The Mahones,spotify:track:2lAbqS3XIaHpZyhwW3pMjg,0.32899999999999996,0.812,2,-11.48,1,0.0872,0.0141,0.0786,0.0603,0.4,165.013,272880,4,97.84874,9,0,2lAbqS3XIaHpZyhwW3pMjg,1aTLhV7R5gUjrR60ubjz6V,canadian celtic,canadian punk,celtic punk,kingston on indie
22,Birth Interlude,Clubroot,spotify:track:4wuqqKXIbFBB8MX0EYpj96,0.389,0.598,4,-8.472999999999999,1,0.0363,0.782,0.948,0.0825,0.0396,140.002,226147,4,22.35533,10,0,4wuqqKXIbFBB8MX0EYpj96,5lHhbrX9ll4e8ilhvLzzI6,substep,0,0,0
23,Make It Rain,Fat Joe Featuring Lil Wayne,spotify:track:1Ji8DhJGIQuV9kBiTgcChh,0.7440000000000001,0.6970000000000001,11,-5.063,0,0.19699999999999998,0.0106,0.0,0.0842,0.767,149.28,247413,4,42.63475,9,1,1Ji8DhJGIQuV9kBiTgcChh,3ScY9CQxNLQei8Umvpx5g6,bronx hip hop,east coast hip hop,gangster rap,hardcore hip hop
24,Here Comes The Summer,The Fiery Furnaces,spotify:track:257xjCQOUQaSOwQWw9fTe1,0.723,0.785,5,-5.722,1,0.0302,0.0247,0.0034700000000000004,0.26,0.816,128.03,209987,4,64.24515,9,0,257xjCQOUQaSOwQWw9fTe1,03G0pJHLHj7FRuCV5OYzpv,brooklyn indie,e6fi,freak folk,noise pop
